"hill0","hill1","hill2","Nu","M","Jm","Sm","J","timesteps"
229,12.502771032313,2.40659985945458,0.0519174652174115,0.44269348536618,10000,1000,1000,1000
391,28.9695053862373,3.3354235320802,0.486502609960735,0.215891964035109,10000,1000,1000,1000
292,14.8441201419527,2.48421282748138,0.271705834334716,0.24391271090135,10000,1000,1000,1000
388,32.2900187644359,3.5917217995964,0.466981690982357,0.360451260069385,10000,1000,1000,1000
345,27.0067689812624,3.39309708329383,0.317672510677949,0.507807835796848,10000,1000,1000,1000
253,12.7130230929363,2.37042093935043,0.187391140172258,0.311204128945246,10000,1000,1000,1000
257,13.5187206633542,2.44474867983574,0.167860227730125,0.363127620890737,10000,1000,1000,1000
234,12.6720529934933,2.4212488801724,0.0910235208459198,0.408622474735603,10000,1000,1000,1000
209,9.38860066649609,2.10972244491516,0.167687244946137,0.256756325159222,10000,1000,1000,1000
486,57.7314505889391,4.89931899465973,0.579894651146606,0.50710887699388,10000,1000,1000,1000
446,46.5189546462012,4.36281139566335,0.472552020102739,0.462226160103455,10000,1000,1000,1000
339,26.8367138234168,3.36979450993086,0.25161498086527,0.486967186443508,10000,1000,1000,1000
417,35.0088428686119,3.67555170031034,0.554380718478933,0.155351261235774,10000,1000,1000,1000
279,14.566160416678,2.48404004272552,0.210869785677642,0.348692239215597,10000,1000,1000,1000
244,10.8785473185881,2.19860432597389,0.194456764496863,0.260480277333409,10000,1000,1000,1000
156,5.29260008798724,1.6810112963959,0.0549384235404432,0.24518005521968,10000,1000,1000,1000
285,21.3386036336325,3.11192989444337,0.104383267834783,0.524703818606213,10000,1000,1000,1000
370,31.669924424094,3.64489932788067,0.352404993725941,0.408075969479978,10000,1000,1000,1000
264,11.5654419023179,2.23170448661873,0.400623170658946,0.0131820510607213,10000,1000,1000,1000
230,11.0237405630371,2.25750960570339,0.145983922155574,0.325362116703764,10000,1000,1000,1000
373,36.64510792236,4.03287600519433,0.251983280852437,0.550555345835164,10000,1000,1000,1000
404,38.8281188394493,4.03508913511899,0.368014002498239,0.56461910228245,10000,1000,1000,1000
255,16.4016625502138,2.74316813974799,0.0819920896086842,0.462324173329398,10000,1000,1000,1000
356,23.9838122142799,3.07198898999153,0.450427437527105,0.195312554715201,10000,1000,1000,1000
314,24.4384579128372,3.27216565011393,0.19965300578624,0.57460571564734,10000,1000,1000,1000
250,10.2278735023821,2.12271860817589,0.361410200642422,0.0207077699247748,10000,1000,1000,1000
